ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2010-12,H5,26,114,18098,20,42,44,1,2430319
2011-08,H5,26,1118,110948,48,121,131,5,14155452
2011-07,H5,26,743,87062,41,112,117,4,10807652
2011-06,H5,26,649,96702,40,103,109,4,12815306
2011-09,H5,26,656,76311,43,104,111,4,11145141
2011-05,H5,26,869,113654,41,129,135,5,15584425
2011-04,H5,26,442,85857,35,82,85,4,12193040
2011-02,H5,26,400,52038,34,67,70,4,7004438
2011-10,H5,26,748,84831,40,104,113,5,14486275
2011-03,H5,26,369,60802,37,78,81,4,7668922
2011-11,H5,26,472,74023,36,80,84,4,9894684
2011-12,H5,26,317,51937,37,75,76,3,5125820
2011-05,G7,25,50549,24555679,238,3279,3458,5,4288401692
2011-12,T4,25,15556,5865101,33,1279,1502,3,554605256
2011-02,B3,25,18901,8771607,30,1010,1164,4,1357710863
2010-12,B3,25,5158,2531600,33,694,787,1,420068516
2011-01,B3,25,26796,14276789,34,1146,1316,5,2356773408
2011-03,B3,25,18900,9204116,31,1058,1211,4,1293474456
2011-04,B3,25,22265,9752930,31,1084,1271,4,1334458713
2011-05,B3,25,25651,11503117,31,1164,1349,5,1500864677
2011-06,B3,25,20721,9149655,33,1094,1279,4,1162393356
2011-07,B3,25,22327,8852801,34,1122,1298,4,1175440818
2011-08,B3,25,24457,10652423,34,1121,1291,5,1317742841
2011-10,B3,25,24697,8943324,31,1173,1363,5,1304695453
2011-11,B3,25,22061,9798973,33,1125,1310,4,960944783
2011-12,B3,25,18325,8169333,30,1004,1166,3,707321353
2010-12,B3,26,914,172175,14,139,150,1,23050281
2011-05,B3,26,3454,775504,20,322,366,5,78890689
2011-06,T3,25,153,85679,2,13,14,4,7335450
2011-01,T3,25,55,14913,2,8,9,5,2812267
2011-07,T3,25,139,60912,2,15,16,4,5472440
2010-12,B1,25,32808,17788154,208,5121,5772,1,3931921787
2011-09,B1,26,39507,9390582,182,3818,4311,4,1293218023
2011-04,H2,25,2552,1479949,51,114,129,4,208029840
2011-02,F3,25,736,582052,15,63,66,4,78196934
2011-03,F3,25,599,566485,16,66,71,4,91529983
2011-09,F3,25,1612,1040391,16,120,130,4,137642415
2011-01,F3,26,93,103321,10,20,21,5,11145750
2011-02,A1,25,2577,938190,29,231,244,4,155803819
2011-02,H1,25,517,266580,37,105,110,4,53669841
2011-01,H1,25,612,249678,39,118,123,5,62743638
2011-03,H1,25,594,301566,39,110,113,4,48082841
2011-04,H1,25,596,247956,36,97,100,4,43147517
2011-05,H1,25,1269,498410,36,128,134,5,90138156
2011-06,H1,25,740,264709,35,106,108,4,47578728
2011-07,H1,25,935,255512,37,112,115,4,44724162
2011-08,H1,25,1220,544104,35,109,109,5,90584258
2011-09,H1,25,639,329102,32,93,95,4,47984289
2011-10,H1,25,787,420345,38,119,120,5,72001442
2011-11,H1,25,973,492499,31,102,105,4,59878064
2011-12,H1,25,514,162722,32,79,80,3,21690354
2011-02,G7,25,35665,18475258,233,2808,2969,4,3257076117
2011-01,G7,25,44738,24154335,251,3667,3846,5,5180605727
2011-04,G7,25,41405,21388102,232,2897,3060,4,3661293524
2011-10,G7,25,46383,17941256,232,3187,3414,5,3485599660
2011-11,G7,25,45812,23108444,236,3498,3729,4,2811041173
2011-12,G7,25,37875,19741462,227,3091,3283,3,2008885278
2011-02,G7,26,8485,2696990,173,1474,1528,4,409976891
2011-10,G7,26,13376,3608545,182,1820,1935,5,603839946
2011-01,G7,26,10453,3287632,183,1455,1516,5,495574432
2011-11,G7,26,13086,5486402,187,2224,2341,4,558259284
2011-12,G7,26,10889,5358385,185,2008,2107,3,484836443
2011-04,G7,26,10006,3312798,180,1605,1675,4,495595151
2011-03,G7,25,37535,19763894,227,2864,3024,4,3406169438
2011-03,G7,26,8928,2936689,176,1551,1615,4,434084219
2010-12,G7,25,9082,4418210,207,1844,1920,1,972899383
2011-09,G7,25,38459,15922622,221,2709,2894,4,2677125305
2010-12,G7,26,2316,664734,142,904,936,1,102046005
2011-05,G7,26,12923,4276163,194,1921,2001,5,647495776
2011-09,G7,26,10741,2860913,179,1655,1741,4,414720365
2011-10,G5,25,1416,529938,13,55,56,5,90128249
2011-09,G5,25,1894,740527,14,55,59,4,118332693
2011-12,F1,26,1090,316654,51,128,132,3,27133779
2011-11,F1,26,1200,400554,56,137,143,4,34754942
2011-03,F2,25,2836,1934387,18,119,133,4,281463635
2011-04,F2,25,2842,1661349,20,113,129,4,238933505
2011-05,F2,25,3651,2455718,19,128,153,5,355330042
2011-06,F2,25,2747,1803288,18,112,135,4,258992868
2011-07,F2,25,3807,2159426,18,107,129,4,344763590
2011-08,F2,25,5088,2862142,17,127,148,5,453980698
2011-09,F2,25,3893,2018002,18,112,131,4,316247541
2011-08,F2,26,618,51364,10,42,45,5,4947671
2011-07,F2,26,441,26744,10,38,44,4,2647412
2011-06,F2,26,246,25129,12,42,44,4,2698461
2011-09,F2,26,491,44727,14,42,46,4,5422071
2011-06,D1,26,689,58048,40,93,97,4,6032390
2011-04,H4,25,1581,525076,22,56,62,4,85357226
2011-05,H4,25,1967,687824,23,57,66,5,100654962
2011-06,H4,25,1530,623740,20,61,69,4,116592315
2011-07,H4,25,1513,522562,19,53,59,4,77777332
2011-08,H4,25,2259,1067408,23,68,74,5,154204583
2011-09,H4,25,1929,1103848,21,56,62,4,172818303
2011-03,D1,26,518,33541,30,76,79,4,4192803
2011-09,B3,25,18489,7959604,33,1037,1200,4,951849675
2011-09,B3,26,2399,311481,20,241,267,4,33920478
2011-03,B3,26,2524,663633,20,269,296,4,85380426
2011-02,B3,26,2798,712196,16,247,268,4,94014982
2011-10,B3,26,3327,654608,20,270,298,5,79176427
2011-08,B3,26,3483,535536,24,293,321,5,61275102
2011-06,B3,26,2482,539152,16,264,298,4,53342141
2011-03,A1,25,3598,1357490,34,268,283,4,203691163
2011-08,D1,26,1198,82812,43,96,102,5,10474192
2011-07,D1,26,653,82405,36,76,79,4,8244325
