ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2015-12,B3,28,41,217440,2,3,4,17,4210912
2014-12,H4,27,3,231,1,1,1,3,44544
2015-01,H4,27,4,13982,1,1,2,4,3601669
2015-02,H4,27,6,6004,1,1,1,6,1518634
2015-03,H4,27,31,68276,1,1,2,31,17267511
2015-04,H4,27,26,97188,1,1,2,26,29710182
2015-06,H4,27,2,1344,1,1,1,2,377642
2015-07,H4,27,27,51185,1,1,2,27,14418490
2015-08,H4,27,31,45581,1,1,1,31,14049246
2014-12,H4,28,3,4626,1,1,1,3,896745
2015-01,H4,28,13,61645,1,1,2,13,15824728
2015-02,H4,28,28,98902,1,1,1,28,25654568
2015-03,H4,28,29,42861,1,1,1,29,10835782
2015-05,H4,28,59,107849,1,1,3,31,31479876
2015-04,H4,28,8,5420,1,1,2,4,1591524
2015-06,H4,28,28,57109,1,1,1,28,16347712
2015-07,H4,28,1,1916,1,1,1,1,589261
2015-08,H4,28,30,36408,1,1,1,30,11195958
2015-09,G4,27,49,517009,4,5,6,20,14696596
2015-03,B3,27,60,2165560,2,2,3,31,53841300
2015-04,B3,27,16,411332,2,2,2,9,17172825
2015-05,B3,27,31,206074,1,1,1,31,19228204
2015-06,B3,27,46,821705,2,2,2,25,24035549
2015-02,B3,28,26,218980,1,1,2,23,18271564
2015-03,B3,28,52,507253,2,2,5,29,21473856
2015-05,B3,28,24,261033,1,1,1,24,19735160
2015-06,B3,28,27,177964,2,2,2,27,10082346
2015-05,F3,28,83,220729,3,3,6,31,7412479
2015-06,F3,28,38,172352,2,3,4,28,3378542
2015-02,G4,27,10,271366,2,2,2,10,4626901
2015-03,G4,27,33,843382,2,2,2,26,14379741
2015-09,G4,28,7,27972,1,1,1,7,548539
2015-11,G4,28,42,295235,2,3,3,25,5719314
2015-01,G4,27,51,968312,3,3,3,27,16548407
2015-05,G4,28,66,284054,3,3,4,31,10980108
2015-09,B5,28,8,51417,1,1,1,8,1008595
2015-10,B5,28,15,82920,1,1,1,15,1626756
2015-08,G4,27,27,339993,1,2,2,20,10509124
2015-07,G5,27,34,1149589,2,2,2,24,32201327
2015-09,H1,28,3,27210,1,1,1,3,533652
2015-10,H1,28,31,589000,1,1,1,31,11547618
2015-11,H1,28,29,203805,1,1,1,29,3947737
2015-02,T4,27,24,484882,1,1,1,24,8267354
2015-01,B5,28,6,3358,1,1,3,2,57220
2015-02,B5,28,64,19747,1,1,4,28,336512
2015-03,B5,28,30,5779,1,1,2,15,98325
2015-04,B5,28,20,4452,1,1,2,10,87268
2015-07,B3,28,5,170900,1,1,1,5,3350559
2014-12,D2,27,9,28776,3,3,3,3,1237797
2015-05,B7,28,10,2346,1,1,1,10,45984
2015-06,B7,28,30,14982,1,1,1,30,294084
2015-07,B7,28,26,12498,1,1,1,26,245372
2015-10,B3,28,2,3334,1,1,1,2,64520
2015-11,B3,28,5,3331,1,1,1,5,64520
2015-02,H3,28,33,154406,1,1,2,28,2631812
2015-03,H3,28,43,118064,1,1,4,31,2020972
2015-04,H3,28,26,106444,1,1,2,26,2088946
2015-05,H3,28,41,59008,2,2,2,31,1157149
2015-07,H3,28,32,82293,2,2,3,26,1614692
2015-04,G2,28,14,40676,1,1,1,14,797372
2015-06,G2,28,14,43724,1,1,1,14,857840
2015-06,G5,27,11,104590,1,1,2,11,3169541
2015-05,F3,27,48,83864,1,1,2,31,7032590
2014-12,T4,27,3,35787,1,1,1,3,836658
2015-09,A1,27,12,10176,1,1,2,6,186237
2015-10,A1,27,62,54221,1,1,2,31,984978
2015-09,A1,28,6,50286,1,1,2,3,986751
2015-10,A1,28,52,427648,1,1,2,26,8383039
2015-11,A1,28,38,96984,1,1,2,19,1877818
2014-12,A1,27,3,4929,1,1,1,3,118098
2015-01,A1,27,1,1643,1,1,1,1,39366
2015-11,B3,27,49,1807357,2,3,3,25,45587374
2015-11,F1,28,44,108698,2,2,2,30,2104056
2015-12,F1,28,27,16635,1,1,1,27,322161
2014-12,B3,27,3,17418,1,1,1,3,713700
2015-03,F3,27,10,466266,1,1,1,10,7950000
2015-04,F3,27,21,213312,1,1,1,21,5975154
2015-07,H5,28,14,25550,1,1,2,14,501216
2015-10,G2,27,23,172328,1,1,2,23,7140513
2015-05,A1,28,10,18474,1,1,1,10,362586
2015-06,A1,28,18,65694,1,1,1,18,1289328
2015-02,H3,27,14,285606,1,1,1,14,4869760
2014-12,G4,27,3,1326,1,1,1,3,137313
2015-04,G4,27,17,212788,1,1,1,17,5960326
2015-10,B3,27,24,563728,1,1,1,24,15790528
2015-11,D1,27,11,153528,1,1,1,11,10435030
2015-12,D1,27,10,59801,1,1,1,10,3339368
2015-09,H4,28,24,135228,1,1,2,24,2652020
2015-10,H4,28,24,134120,1,1,2,24,2630566
