ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2014-12,T4,9,54,1281822,1178,7,25,25,19
2014-07,T4,9,33,788071,887,8,16,17,16
2014-08,T4,9,35,613789,674,7,12,13,17
2014-06,T4,9,37,869480,1008,6,19,19,16
2014-12,R1,9,102,2460801,2739,3,18,20,24
2014-07,R1,9,62,1618072,1609,3,15,15,29
2014-02,R1,9,48,1249059,1344,3,14,14,25
2014-04,R1,9,83,2223054,2268,4,17,19,29
2014-06,R1,9,80,2157415,2369,4,21,23,29
2014-05,R1,9,73,1894420,1968,3,17,19,30
2014-11,R1,9,89,2224412,2497,3,23,24,22
2014-11,R1,10,1806,8665817,81233,9,140,158,30
2014-12,R1,10,1790,7769832,82186,9,126,141,31
2014-05,R1,10,1731,9249126,97359,8,123,178,31
2014-04,B7,10,5004,9002913,92233,3,1870,1961,30
2014-10,T4,15,11,79051,254,4,9,9,4
2014-12,A1,9,117,1831131,2461,12,35,38,31
2014-02,H2,10,79,468956,3672,11,20,24,27
2014-11,T4,15,46,306887,1481,7,35,36,4
2014-06,B7,10,6672,12462167,124412,3,2276,2418,30
2014-12,B7,10,4025,6288117,80306,3,1263,1321,31
2014-04,B1,15,77,526515,1818,19,66,68,4
2014-06,B1,16,3,97439,27,2,2,3,2
2014-12,B1,16,6,195038,59,5,6,6,1
2014-09,G3,15,26,133868,503,9,23,23,4
2014-01,G3,9,297,6066701,11251,23,100,114,31
2014-02,G3,9,260,5101745,8905,23,101,113,28
2014-03,R1,10,1841,10985427,114210,10,142,203,31
2014-06,D2,9,22,454364,521,6,12,13,13
2014-02,G7,15,99,558988,2543,24,73,77,4
2014-03,G7,15,103,498443,2048,22,58,63,5
2014-04,G7,15,121,698257,2755,31,80,81,4
2014-05,G7,15,80,402862,1605,21,59,61,4
2014-06,G7,15,86,415389,2034,21,51,55,5
2014-07,G7,15,52,245119,1119,18,44,44,4
2014-08,G7,15,88,513934,2331,23,53,56,5
2014-09,G7,15,139,990194,4488,30,93,94,4
2014-10,G7,15,112,609678,3025,30,82,84,4
2014-11,G7,15,175,1154319,5307,36,119,126,5
2014-12,G7,15,110,652560,2586,36,80,86,4
2014-10,B7,9,13,273515,155,2,10,10,7
2014-09,B7,9,14,267898,175,2,10,10,5
2014-05,B2,9,131,2792429,2508,7,64,66,20
2014-03,B1,15,110,640718,2721,20,94,95,5
2014-01,G7,16,3,109218,30,3,3,3,2
2014-07,B4,9,56,1341817,2267,8,45,46,20
2014-12,B1,15,25,129178,588,9,14,15,4
2014-02,B2,9,104,2360735,2054,7,47,47,20
2014-06,B2,15,40,303248,1650,4,24,24,5
2014-07,B2,15,17,118265,539,5,13,13,4
2014-06,T1,9,46,1519258,1215,7,17,19,22
2014-05,F1,9,1,25623,27,1,1,1,1
2014-05,B4,15,1,1709,7,1,1,1,1
2014-12,B4,15,1,2799,13,1,1,1,1
2014-12,G3,9,313,6026252,10572,20,111,127,31
2014-09,G3,9,174,2894810,4739,21,105,111,25
2014-07,F3,10,113,210288,2520,6,62,68,26
2014-04,G3,9,218,3551922,5760,23,108,113,27
2014-12,B2,9,85,1908793,1524,5,35,38,25
2014-07,B2,9,95,2125753,1761,5,46,46,20
2014-10,B2,9,138,2691665,2485,5,56,62,19
2014-02,G3,15,21,131145,733,10,19,19,4
2014-11,B2,15,37,266134,1099,8,28,28,5
2014-11,H2,10,514,3139879,30145,21,39,42,30
2014-04,H2,10,168,1315259,8599,13,28,31,30
2014-03,H2,10,160,1288397,8926,14,25,26,31
2014-09,B1,15,55,475700,1844,18,39,39,4
2014-10,B1,15,90,436532,1978,20,84,84,4
2014-11,B1,15,91,532195,2203,17,81,83,5
2014-07,B1,15,25,97309,374,9,15,15,4
2014-09,B2,9,108,2280200,1942,6,48,54,20
2014-08,T2,10,109,258246,2319,5,31,32,25
2014-02,F1,10,113,250734,2677,15,36,39,25
2014-06,G3,9,242,4084786,5925,22,114,122,28
2014-07,G3,9,143,2321187,3871,18,68,75,28
2014-05,G3,9,243,3913325,6414,18,107,117,27
2014-06,D1,10,75,868079,4262,19,31,33,25
2014-04,D2,15,25,142009,719,6,18,18,4
2014-05,B1,15,31,173991,602,15,25,25,4
2014-02,B1,15,31,233549,1036,12,22,23,4
2014-06,B1,15,24,120348,744,11,15,15,5
2014-03,G3,9,324,5330985,8017,28,164,180,30
2014-10,G3,9,188,2991879,5471,18,108,114,23
2014-11,G3,9,191,3170937,5981,21,88,94,24
2014-08,G3,9,124,2038846,3817,12,56,63,23
2014-02,G7,16,7,253021,70,5,5,5,3
2014-03,G7,16,8,287606,80,3,3,4,4
2014-04,G7,16,8,289427,80,4,5,5,4
2014-05,G7,16,2,54929,15,2,2,2,1
2014-06,G7,16,3,119013,37,1,1,2,3
2014-10,G7,16,2,70991,20,2,2,2,2
2014-12,G7,16,3,120246,36,2,3,3,2
2014-08,B2,9,81,1476218,1165,5,37,42,17
2014-11,B2,9,90,1578291,1487,6,53,58,17
2014-01,B1,15,33,177020,908,12,24,24,9
2014-12,D1,10,138,924046,5123,14,22,25,29
2014-11,A1,15,1,12495,156,1,1,1,1
2014-12,F2,10,113,975370,6338,7,18,19,25
2014-01,F2,10,47,229238,1416,5,8,8,24
2014-01,F3,9,3,51202,30,2,2,2,3
2014-02,F3,9,4,48862,43,1,1,1,4
2014-06,F3,9,17,330255,267,4,8,10,16
2014-03,F3,9,2,30709,20,2,2,2,2
2014-06,H2,10,132,1292024,7847,20,34,36,29
2014-07,G4,10,373,625601,10083,13,77,88,31
2014-05,G4,10,374,697642,9660,15,89,92,31
2014-03,T4,15,41,217713,881,7,37,37,5
2014-10,T6,9,5,172809,197,2,2,2,5
2014-09,T6,9,9,250821,284,4,4,4,8
2014-11,T6,9,7,65274,70,4,4,4,5
2014-06,G3,15,20,120363,576,9,16,16,5
2014-05,G9,10,536,1265120,11695,7,105,112,31
2014-02,B5,10,85,197719,2232,7,37,38,26
2014-03,B5,10,144,619871,5205,7,48,53,30
2014-12,G9,10,403,938665,8280,6,62,71,31
2014-08,G9,10,375,870124,7257,9,64,73,31
2014-04,G9,10,415,1072083,8202,7,71,79,30
2014-11,G9,10,442,1133186,9854,7,73,82,30
2014-06,G9,10,443,1145500,8955,5,76,84,30
2014-02,G9,10,326,850835,6204,7,59,64,28
2014-10,G9,10,463,1044572,10497,7,75,91,31
2014-07,G9,10,345,772647,6909,7,61,66,31
2014-01,G9,10,355,802420,6641,6,50,56,31
2014-09,G9,10,386,964872,8495,7,78,86,30
2014-03,G9,10,380,920922,7076,6,67,74,31
2014-01,F1,10,122,350713,3024,23,41,43,26
2014-01,H3,10,30,302773,1008,4,15,16,16
2014-08,G3,15,13,78615,320,8,12,12,5
2014-06,B6,10,83,132342,1021,5,34,34,28
2014-08,T6,10,523,720708,8104,15,139,145,31
2014-02,B2,15,27,144417,774,3,21,21,4
2014-08,B1,15,51,313580,1362,10,33,33,5
2014-02,T2,10,104,219370,2189,5,26,27,27
2014-11,T2,10,239,731139,5162,6,52,57,30
2014-10,T2,10,203,828574,6929,5,44,49,31
2014-06,T2,10,156,434219,3644,4,42,43,27
2014-04,T2,10,135,413578,3243,6,36,39,29
2014-07,T2,10,105,154497,2332,4,27,29,27
2014-12,T2,10,232,617776,4303,5,40,42,31
2014-05,T2,10,196,626398,5490,4,42,46,30
2014-01,T2,10,136,421596,3230,6,28,33,31
2014-09,T2,10,191,863502,6509,4,41,43,29
2014-03,T2,10,139,196845,2347,3,29,30,30
2014-02,D1,10,116,931863,7188,15,23,25,26
2014-03,D1,10,111,1172469,9087,16,28,30,29
2014-10,D2,9,8,176902,239,4,6,6,6
2014-11,F2,10,74,249223,1980,5,16,19,25
2014-04,F2,10,58,178441,1592,4,12,14,27
2014-02,F2,10,61,378075,2538,5,14,15,25
2014-10,F2,10,53,272624,1692,7,16,18,24
2014-05,F2,10,48,88846,1150,3,11,13,24
